# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "reference/styphimurium.gff" "-o" "feature_counts/all_samples_counts.txt" "alignment_bam/acidic_sorted.bam" "alignment_bam/oxidative_sorted.bam" "alignment_bam/starvation_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment_bam/acidic_sorted.bam	alignment_bam/oxidative_sorted.bam	alignment_bam/starvation_sorted.bam
STM0059	NC_003197.2	69703	70003	+	301	9	8	13
STM0060	NC_003197.2	69994	70869	+	876	30	54	2
STM0061	NC_003197.2	70873	72400	+	1528	334	51	79
STM0062	NC_003197.2	72394	72951	+	558	48	4	0
STM0063	NC_003197.2	72923	73837	+	915	86	18	79
STM0064	NC_003197.2	74007	74838	+	832	2327	1013	542
STM0065	NC_003197.2	75088	75435	+	348	44	2	14
STM0066	NC_003197.2	75812	77028	+	1217	1202	441	52
STM0067	NC_003197.2	77030	80274	+	3245	2040	1459	219
STM0068	NC_003197.2	80459	80943	+	485	1027	334	204
STM0069	NC_003197.2	81020	81627	-	608	411	102	96
STM0070	NC_003197.2	81725	82523	-	799	147	87	33
STM0071	NC_003197.2	82564	84131	-	1568	389	103	82
STM0072	NC_003197.2	84180	85410	-	1231	207	102	102
STM0073	NC_003197.2	85509	86662	-	1154	507	127	86
STM0074	NC_003197.2	86686	88216	-	1531	119	48	56
STM0075	NC_003197.2	88547	89454	+	908	114	10	24
STM0076	NC_003197.2	89459	90411	+	953	102	52	26
STM0077	NC_003197.2	90450	91747	+	1298	90	14	25
STM0078	NC_003197.2	91728	92031	+	304	28	51	16
STM0079	NC_003197.2	92166	93518	+	1353	1070	161	180
STM0080	NC_003197.2	93601	93837	+	237	2169	614	908
STM0081	NC_003197.2	94123	94547	+	425	730	334	237
STM0082	NC_003197.2	94771	95069	-	299	1391	992	825
STM0083	NC_003197.2	95271	95465	+	195	115	36	55
STM0084	NC_003197.2	95952	97848	+	1897	1126	188	187
STM0085	NC_003197.2	98245	98785	+	541	362	71	453
STM0086	NC_003197.2	98765	100640	+	1876	506	550	731
STM0087	NC_003197.2	100826	101318	+	493	7177	419	193
STM0088	NC_003197.2	101424	102272	-	849	1514	918	585
STM0089	NC_003197.2	102283	102674	-	392	2573	1010	382
STM0090	NC_003197.2	102663	103484	-	822	3075	1040	433
STM0091	NC_003197.2	103481	104470	-	990	2359	1241	458
STM0092	NC_003197.2	104470	105767	-	1298	7954	5452	1888
STM0093	NC_003197.2	105810	108170	-	2361	16161	10414	5007
STM0094	NC_003197.2	108413	109236	+	824	4875	1598	892
STM0095	NC_003197.2	109331	110002	-	672	3080	1529	542
STM0096	NC_003197.2	110002	112908	-	2907	3102	756	229
STM0097	NC_003197.2	113082	115445	-	2364	1811	1015	603
STM0098	NC_003197.2	115477	116102	-	626	833	74	154
STM0099	NC_003197.2	116294	116601	+	308	14	2	0
STM0100	NC_003197.2	116816	117235	+	420	114	4	0
STM0101	NC_003197.2	117241	117949	-	709	271	50	17
STM0102	NC_003197.2	118077	119591	-	1515	228	104	72
STM0103	NC_003197.2	119590	121412	-	1823	2487	425	488
STM0104	NC_003197.2	121528	122485	+	958	678	320	401
STM0105	NC_003197.2	122593	123371	+	779	2698	325	205
STM0106	NC_003197.2	123410	124136	-	727	1440	255	101
STM0107	NC_003197.2	124101	125728	-	1628	2574	400	71
STM0108	NC_003197.2	125687	126680	-	994	1822	338	80
STM0109	NC_003197.2	126848	128522	-	1675	1547	947	632
STM0110	NC_003197.2	129057	129674	-	618	469	431	159
STM0111	NC_003197.2	129673	131086	-	1414	258	333	109
STM0112	NC_003197.2	131076	132181	-	1106	645	538	171
STM0113	NC_003197.2	132167	133758	-	1592	583	272	79
STM0114	NC_003197.2	133826	134057	-	232	75	4	70
STM0115	NC_003197.2	134557	135513	+	957	197	28	4
STM0116	NC_003197.2	135770	137559	+	1790	1922	603	285
STM0117	NC_003197.2	137550	138053	+	504	1273	960	479
STM0118	NC_003197.2	138326	139341	+	1016	6335	1641	1369
STM0119	NC_003197.2	139931	140405	+	475	11014	4084	2653
STM0120	NC_003197.2	140388	141348	+	961	9492	6356	2805
STM0121	NC_003197.2	141333	141710	+	378	1944	1163	579
STM0122	NC_003197.2	141709	143492	+	1784	22250	10117	8607
STM0123	NC_003197.2	143469	144966	+	1498	5787	6137	1562
STM0124	NC_003197.2	144949	146321	+	1373	3806	4296	1157
STM0125	NC_003197.2	146301	147397	+	1097	4894	4579	1598
STM0126	NC_003197.2	147386	148716	+	1331	6007	6458	1588
STM0127	NC_003197.2	148702	149960	+	1259	4250	2913	1047
STM0128	NC_003197.2	149947	151024	+	1078	4028	2680	819
STM0129	NC_003197.2	151131	152618	+	1488	4743	2850	1663
STM0130	NC_003197.2	152595	153531	+	937	3742	2640	793
STM0131	NC_003197.2	153375	154363	+	989	3942	1600	1223
STM0132	NC_003197.2	154346	155622	+	1277	13690	7066	3039
STM0133	NC_003197.2	155670	156834	+	1165	7325	12767	3202
STM0134	NC_003197.2	156919	157852	+	934	55141	27053	4493
STM0135	NC_003197.2	158199	158627	+	429	4053	2383	282
STM0136	NC_003197.2	158689	161394	+	2706	27371	18708	2026
STM0137	NC_003197.2	161532	161941	+	410	876	246	36
STM0138	NC_003197.2	162263	162465	-	203	1335	1465	307
STM0139	NC_003197.2	162464	163221	-	758	1921	823	219
STM0140	NC_003197.2	163207	163835	-	629	8601	959	1229
STM0141	NC_003197.2	164040	165096	+	1057	11778	5417	997
STM0142	NC_003197.2	165127	166342	-	1216	215	133	71
STM0143	NC_003197.2	166319	167715	-	1397	76	29	52
STM0144	NC_003197.2	167714	168163	-	450	58	53	12
STM0145	NC_003197.2	168373	169279	-	907	1498	1166	381
STM0146	NC_003197.2	169341	169917	+	577	941	703	342
STM0147	NC_003197.2	169903	170768	+	866	1052	898	490
STM0148	NC_003197.2	170860	171822	-	963	783	238	146
STM0149	NC_003197.2	171810	173227	-	1418	489	56	75
STM0150	NC_003197.2	173380	174812	-	1433	2545	1003	2368
STM0151	NC_003197.2	175153	176080	+	928	22701	3046	944
STM0152	NC_003197.2	176227	178903	+	2677	23773	24794	1476
STM0153	NC_003197.2	178904	180807	+	1904	13674	19302	1493
STM0154	NC_003197.2	180898	182431	+	1534	17503	14757	9054
STM0155	NC_003197.2	182714	183004	+	291	139	40	15
STM0156	NC_003197.2	183042	183840	-	799	245	32	32
STM0157	NC_003197.2	183846	185488	-	1643	543	321	303
STM0158	NC_003197.2	185843	188454	+	2612	4311	7478	10089
STM0159	NC_003197.2	188515	189363	-	849	12391	3765	1216
STM0160	NC_003197.2	189591	189965	+	375	3113	2987	3616
STM0161	NC_003197.2	190186	191153	+	968	196	85	101
STM0162	NC_003197.2	191145	192421	+	1277	200	120	155
STM0163	NC_003197.2	192403	193394	+	992	267	133	142
STM0164	NC_003197.2	193399	194171	+	773	5960	2436	1882
STM0165	NC_003197.2	194201	195011	-	811	10707	1291	189
STM0166	NC_003197.2	195016	195889	-	874	9722	5312	233
STM0167	NC_003197.2	195983	196342	-	360	3793	659	348
STM0168	NC_003197.2	196520	198142	+	1623	353	2357	159
STM0169	NC_003197.2	198220	200623	-	2404	1066	908	831
STM0170	NC_003197.2	200804	201352	+	549	28994	3167	138
STM0171	NC_003197.2	201410	202088	-	679	56218	8130	1559
STM0172	NC_003197.2	202173	203107	+	935	985	628	262
STM0173	NC_003197.2	203091	203874	+	784	751	766	304
STM0174	NC_003197.2	203991	205077	-	1087	497	294	111
STM0175	NC_003197.2	205079	207631	-	2553	652	192	76
STM0176	NC_003197.2	207652	208341	-	690	65	2	0
STM0177	NC_003197.2	208383	208928	-	546	351	46	84
STM0178	NC_003197.2	209282	209733	+	452	447	41	22
STM0179	NC_003197.2	209795	211024	+	1230	6184	672	56
STM0180	NC_003197.2	211031	211426	-	396	10767	4936	974
STM0181	NC_003197.2	211506	212373	-	868	2547	806	213
STM0182	NC_003197.2	212486	213288	-	803	630	362	78
STM0183	NC_003197.2	213398	213888	-	491	636	307	35
STM0184	NC_003197.2	213874	215292	-	1419	12886	1616	168
STM0185	NC_003197.2	215433	216374	-	942	2830	376	52
STM0186	NC_003197.2	216398	216866	-	469	67931	14471	12469
STM0187	NC_003197.2	217030	217745	-	716	1970	926	2830
STM0188	NC_003197.2	217751	218281	-	531	1522	707	418
STM0189	NC_003197.2	218296	220783	+	2488	4483	2332	1333
STM0190	NC_003197.2	220911	223446	+	2536	13348	9189	2938
STM0191	NC_003197.2	223726	225928	+	2203	22739	34924	3530
STM0192	NC_003197.2	225977	226774	+	798	1476	1619	125
STM0193	NC_003197.2	226774	227664	+	891	690	693	46
STM0194	NC_003197.2	227651	229718	+	2068	4114	4929	152
STM0195	NC_003197.2	230647	231218	+	572	374	136	31
STM0196	NC_003197.2	231287	233961	+	2675	918	125	134
STM0197	NC_003197.2	233964	234731	+	768	37	0	0
STM0198	NC_003197.2	234737	235262	+	526	36	0	6
STM0199	NC_003197.2	235245	235735	+	491	25	10	36
STM0200	NC_003197.2	235718	236265	+	548	35	8	2
STM0201	NC_003197.2	236265	237104	+	840	482	77	160
STM0202	NC_003197.2	237212	238505	-	1294	5382	3581	1031
STM0203	NC_003197.2	238662	240083	+	1422	1046	388	398
STM0204	NC_003197.2	240120	240509	+	390	30059	4154	2994
STM0205	NC_003197.2	240610	241247	-	638	4920	571	540
STM0206	NC_003197.2	241270	242077	-	808	364	215	44
STM0207	NC_003197.2	242063	242761	-	699	8856	3873	361
STM0208	NC_003197.2	242840	244363	+	1524	2306	2164	1060
STM0209	NC_003197.2	244493	245920	+	1428	2308	3576	1063
STM0210	NC_003197.2	246061	247230	+	1170	669	317	913
STM0211	NC_003197.2	247319	247717	-	399	7909	8434	26640
STM0212	NC_003197.2	247943	249253	+	1311	2071	631	493
STM0213	NC_003197.2	249290	250114	-	825	20280	12151	2741
STM0214	NC_003197.2	250144	252825	-	2682	2190	3224	955
STM0215	NC_003197.2	253053	253860	-	808	19796	3889	1943
STM0216	NC_003197.2	254285	255023	+	739	125000	26233	1710
STM0217	NC_003197.2	255269	256132	+	864	93791	41058	2581
STM0218	NC_003197.2	256265	257002	+	738	9445	3963	357
STM0219	NC_003197.2	257136	257706	+	571	58188	7229	4854
STM0220	NC_003197.2	257836	259043	+	1208	3761	1189	491
STM0221	NC_003197.2	259337	260114	+	778	7435	703	227
STM0222	NC_003197.2	260114	260984	+	871	2632	898	358
STM0223	NC_003197.2	260988	262348	+	1361	7795	2106	693
STM0224	NC_003197.2	262380	264794	+	2415	19606	12032	1892
STM0225	NC_003197.2	264905	265402	+	498	49321	16314	2116
STM0226	NC_003197.2	265391	266431	+	1041	15496	4217	1477
STM0227	NC_003197.2	266524	266992	+	469	6507	2310	673
STM0228	NC_003197.2	266984	267784	+	801	5830	2221	677
STM0229	NC_003197.2	267768	268932	+	1165	3739	956	253
STM0230	NC_003197.2	268915	269525	+	611	2564	853	283
STM0231	NC_003197.2	269536	273031	+	3496	6938	2553	449
STM0232	NC_003197.2	272938	274003	+	1066	11457	2865	825
STM0233	NC_003197.2	274177	275947	+	1771	1630	350	546
STM0234	NC_003197.2	276012	278164	+	2153	2027	1812	387
STM0235	NC_003197.2	278209	278609	+	401	1138	1029	380
STM0236	NC_003197.2	278665	279964	+	1300	2262	1142	286
STM0237	NC_003197.2	280048	280321	-	274	4421	5082	4170
STM0238	NC_003197.2	280295	280517	-	223	5493	8403	6254
STM0239	NC_003197.2	280680	281238	+	559	1397	382	88
STM0240	NC_003197.2	281220	281657	+	438	2899	787	1851
STM0242	NC_003197.2	282468	284202	-	1735	11705	4880	438
STM0243	NC_003197.2	284297	285012	-	716	2264	475	56
STM0244	NC_003197.2	285001	285416	-	416	5827	2209	620
STM0245	NC_003197.2	285524	286351	-	828	14429	7731	2889
STM0246	NC_003197.2	286378	287044	-	667	2811	370	239
STM0247	NC_003197.2	287024	288063	-	1040	5848	453	719
STM0248	NC_003197.2	288230	288811	+	582	7269	2228	583
STM0249	NC_003197.2	289190	290733	+	1544	1419	1755	1726
STM0250	NC_003197.2	290801	290874	+	74	49324	3670	343
STM0251	NC_003197.2	290987	291059	+	73	51334	2150	204
STM0252	NC_003197.2	291245	294337	+	3093	4208	853	925
STM0253	NC_003197.2	294520	294641	+	122	1326	64	22
STM0254	NC_003197.2	294839	294912	+	74	4833	334	65
STM0255	NC_003197.2	295060	295873	+	814	2214	526	257
STM0256	NC_003197.2	295894	296819	-	926	409	344	98
STM0257	NC_003197.2	296901	298088	+	1188	282	258	88
STM0258	NC_003197.2	298241	299020	+	780	1907	1558	1357
STM0259	NC_003197.2	299083	299868	+	786	967	1011	418
STM0260	NC_003197.2	299924	301291	-	1368	42261	3782	688
STM0261	NC_003197.2	301363	302128	-	766	1973	1288	672
STM0262	NC_003197.2	302140	302875	+	736	1298	500	669
STM0263	NC_003197.2	302872	303356	-	485	4193	798	246
STM0264	NC_003197.2	303403	304134	+	732	8664	1975	2286
STM0265	NC_003197.2	304278	304351	+	74	523	218	51
STM0266	NC_003197.2	304666	305721	-	1056	974	132	28
STM0267	NC_003197.2	305732	306732	-	1001	100	20	31
STM0268	NC_003197.2	306724	308613	-	1890	283	58	6
STM0269	NC_003197.2	308623	309125	-	503	107	40	54
STM0270	NC_003197.2	309114	309944	-	831	319	121	77
STM0271	NC_003197.2	309925	310832	-	908	164	47	39
STM0272	NC_003197.2	311190	313834	+	2645	456	280	64
STM0273	NC_003197.2	313927	314476	+	550	79	37	14
STM0274	NC_003197.2	314493	316008	+	1516	164	58	57
STM0274A	NC_003197.2	316071	316181	+	111	41	2	4
STM0275	NC_003197.2	316308	316640	+	333	103	13	15
STM0276	NC_003197.2	316888	317379	+	492	386	204	57
STM0277	NC_003197.2	317678	318169	+	492	102	10	4
STM0278	NC_003197.2	318150	318537	+	388	58	10	2
STM0279	NC_003197.2	318674	319165	+	492	119	39	18
STM0280	NC_003197.2	319225	319768	+	544	26	10	0
STM0281	NC_003197.2	319768	321115	+	1348	156	60	62
STM0282	NC_003197.2	321106	322416	+	1311	216	84	79
STM0283	NC_003197.2	322414	323194	+	781	98	41	4
STM0284	NC_003197.2	323391	323828	+	438	35	0	0
STM0285	NC_003197.2	323857	327731	+	3875	721	282	289
STM0286	NC_003197.2	327726	328519	+	794	48	12	0
STM0287	NC_003197.2	328510	328932	+	423	68	12	12
STM0288	NC_003197.2	328950	329477	+	528	149	43	15
STM0289	NC_003197.2	329867	332063	+	2197	397	160	87
STM0290	NC_003197.2	332080	332533	+	454	62	6	5
STM0291	NC_003197.2	332541	336646	+	4106	1647	384	376
STM0292	NC_003197.2	337088	337836	+	749	1593	173	342
STM0293	NC_003197.2	337825	338276	+	452	1052	311	177
STM0294	NC_003197.2	338835	339276	+	442	238	25	5
STM0295	NC_003197.2	340039	340353	+	315	619	39	17
STM0296	NC_003197.2	340455	340703	-	249	31	0	0
STM0297	NC_003197.2	340748	340953	+	206	78	16	32
STM0298	NC_003197.2	341175	341460	+	286	30	0	0
STM0299	NC_003197.2	342207	342722	+	516	1229	435	294
STM0300	NC_003197.2	342830	343543	+	714	220	41	29
STM0301	NC_003197.2	343560	346077	+	2518	435	338	140
STM0302	NC_003197.2	346092	346569	+	478	654	97	39
STM0303	NC_003197.2	346968	347796	+	829	734	299	130
STM0304	NC_003197.2	348606	349558	+	953	6689	615	465
STM0305	NC_003197.2	349672	349890	+	219	430	49	12
STM0306	NC_003197.2	349894	350619	-	726	3071	2682	281
STM0307	NC_003197.2	350944	351358	-	415	2737	1294	423
STM0308	NC_003197.2	351722	352503	-	782	2991	1942	612
STM0309	NC_003197.2	352598	355058	-	2461	1430	591	8262
STM0310	NC_003197.2	355270	355860	+	591	8749	5221	1546
STM0311	NC_003197.2	356063	356840	+	778	1552	1341	514
STM0312	NC_003197.2	356811	357565	-	755	8228	625	290
STM0313	NC_003197.2	357788	358856	+	1069	1606	485	550
STM0315	NC_003197.2	360188	360818	+	631	512	110	65
STM0316	NC_003197.2	360974	362444	-	1471	8410	13402	2506
STM0317	NC_003197.2	362662	363138	+	477	39879	2018	202
STM0318	NC_003197.2	363212	364471	+	1260	3758	2670	821
STM0319	NC_003197.2	364517	364930	+	414	20541	7003	1611
STM0320	NC_003197.2	364981	366179	-	1199	1997	302	129
STM0321	NC_003197.2	366309	367419	+	1111	3117	1616	285
STM0322	NC_003197.2	367418	368681	+	1264	3839	4166	358
STM0323	NC_003197.2	368807	368879	+	73	2972	75	158
STM0324	NC_003197.2	369153	369380	+	228	151	8	20
STM0325	NC_003197.2	369198	369998	-	801	164	13	0
STM0327	NC_003197.2	370726	371063	+	338	3949	4972	23823
STM0328	NC_003197.2	371397	372642	+	1246	178	10	61
STM0329	NC_003197.2	372766	374195	+	1430	144	110	21
STM0330	NC_003197.2	374190	374823	+	634	133	4	0
STM0331	NC_003197.2	374831	375716	+	886	155	14	29
STM0332	NC_003197.2	375712	376630	+	919	570	138	190
STM0333	NC_003197.2	376656	377629	+	974	1281	431	688
STM0334	NC_003197.2	377574	377854	-	281	206	41	45
STM0335	NC_003197.2	378531	378935	+	405	70	73	47
STM0336	NC_003197.2	378982	379748	-	767	442	14	48
STM0337	NC_003197.2	379706	381038	-	1333	326	50	24
STM0338	NC_003197.2	381036	383603	-	2568	1453	494	460
STM0339	NC_003197.2	383581	384357	-	777	18	10	2
STM0340	NC_003197.2	384404	384948	-	545	23	16	6
STM0341	NC_003197.2	385574	386338	+	765	1364	256	29
STM0342	NC_003197.2	386306	386610	+	305	329	79	12
STM0343	NC_003197.2	387105	388684	+	1580	839	260	518
STM0344	NC_003197.2	388778	389527	+	750	3980	1165	790
STM0345	NC_003197.2	389494	389988	+	495	1757	385	164
STM0346	NC_003197.2	390383	390913	+	531	208	54	0
STM0347	NC_003197.2	391057	391698	+	642	223	18	0
STM0348	NC_003197.2	391703	391933	+	231	104	5	15
STM0349	NC_003197.2	391984	392350	+	367	696	249	101
STM0350	NC_003197.2	392420	393948	-	1529	274	64	44
STM0351	NC_003197.2	393894	397067	-	3174	738	229	121
STM0352	NC_003197.2	397058	398290	-	1233	69	29	8
STM0353	NC_003197.2	398554	400849	+	2296	143	168	138
STM0354	NC_003197.2	400853	401325	+	473	259	294	1789
STM0355	NC_003197.2	401396	401597	+	202	864	1063	2364
STM0356	NC_003197.2	401883	403143	+	1261	940	443	614
STM0357	NC_003197.2	403326	405290	+	1965	6975	3210	465
STM0358	NC_003197.2	405293	408272	+	2980	4091	3847	775
STM0359	NC_003197.2	408544	408650	+	107	91	23	1449
STM0360	NC_003197.2	408761	410170	+	1410	305	45	349
STM0361	NC_003197.2	410159	411177	+	1019	310	214	408
STM0362	NC_003197.2	411190	411418	+	229	110	50	48
STM0363	NC_003197.2	411510	412518	+	1009	1301	4790	661
STM0364	NC_003197.2	412664	414772	+	2109	674	3455	210
STM0365	NC_003197.2	414813	415461	-	649	915	698	1363
STM0366	NC_003197.2	415665	415952	+	288	888	907	12873
STM0367	NC_003197.2	416088	417730	-	1643	422	120	899
STM0368	NC_003197.2	417967	418865	+	899	228	54	459
STM0369	NC_003197.2	418979	420157	+	1179	360	116	569
STM0370	NC_003197.2	420182	421648	+	1467	137	114	242
STM0371	NC_003197.2	421677	423575	+	1899	280	105	150
STM0372	NC_003197.2	423679	424663	-	985	5396	2685	354
STM0373	NC_003197.2	425151	428102	+	2952	4968	1045	921
STM0374	NC_003197.2	428177	428811	+	635	450	41	58
STM0375	NC_003197.2	428856	429986	-	1131	2627	658	480
STM0376	NC_003197.2	430348	431580	+	1233	1718	774	349
STM0377	NC_003197.2	431584	432689	+	1106	659	472	64
STM0378	NC_003197.2	432727	433047	-	321	240	175	89
STM0379	NC_003197.2	433292	433518	+	227	1325	659	1225
STM0380	NC_003197.2	433544	434656	-	1113	7087	1865	823
STM0381	NC_003197.2	434712	435429	+	718	311	152	890
STM0382	NC_003197.2	435598	436809	+	1212	867	272	254
STM0383	NC_003197.2	437092	437366	+	275	23825	14301	7655
STM0384	NC_003197.2	437706	438038	+	333	407	591	3833
STM0385	NC_003197.2	438111	439242	+	1132	939	391	881
STM0386	NC_003197.2	439257	440080	-	824	468	1499	722
STM0387	NC_003197.2	440194	440661	+	468	520	221	62
STM0388	NC_003197.2	440687	441391	+	705	1021	291	267
STM0389	NC_003197.2	441407	441609	+	203	1678	1468	4936
STM0390	NC_003197.2	441846	442537	+	692	2127	558	2055
STM0391	NC_003197.2	442595	442892	+	298	3398	2364	1082
STM0392	NC_003197.2	442930	443853	-	924	7175	1221	216
STM0393	NC_003197.2	443955	444875	+	921	1267	953	643
STM0394	NC_003197.2	444897	446125	-	1229	1883	989	355
STM0395	NC_003197.2	446242	449396	-	3155	3382	2660	370
STM0396	NC_003197.2	449379	450592	-	1214	1665	604	255
STM0397	NC_003197.2	450723	451485	+	763	2810	1676	304
STM0398	NC_003197.2	451540	452850	+	1311	1909	1363	349
STM0399	NC_003197.2	453243	454578	+	1336	14842	2617	1943
STM0400	NC_003197.2	454644	456023	+	1380	4718	942	337
STM0401	NC_003197.2	456172	458002	+	1831	564	241	56
STM0402	NC_003197.2	458074	458684	-	611	78680	22197	2589
STM0403	NC_003197.2	458886	459478	-	593	4155	1916	865
STM0404	NC_003197.2	459561	460625	+	1065	4740	445	73
STM0405	NC_003197.2	460811	461949	+	1139	6334	1476	168
STM0406	NC_003197.2	461960	462304	+	345	20792	6049	856
STM0407	NC_003197.2	462320	464179	+	1860	27913	6816	704
STM0408	NC_003197.2	464178	465161	+	984	6333	3263	675
STM0409	NC_003197.2	465301	465674	+	374	591	249	274
STM0410	NC_003197.2	465700	466392	+	693	565	158	264
STM0411	NC_003197.2	466546	466909	+	364	5400	1108	1314
STM0412	NC_003197.2	467157	467483	-	327	3148	1411	1987
STM0413	NC_003197.2	467538	468539	-	1002	9669	9144	529
STM0414	NC_003197.2	468701	469255	-	555	505	138	95
STM0415	NC_003197.2	469381	469841	+	461	4387	1203	908
STM0416	NC_003197.2	469833	470948	+	1116	4738	2734	783
STM0417	NC_003197.2	471023	471507	+	485	5584	3378	300
STM0418	NC_003197.2	471516	471947	+	432	11134	5688	2273
STM0419	NC_003197.2	472014	473003	+	990	984	499	111
STM0420	NC_003197.2	472970	473496	+	527	829	306	79
STM0421	NC_003197.2	473600	474587	-	988	1354	870	2655
STM0422	NC_003197.2	474631	476493	-	1863	4098	2859	669
STM0423	NC_003197.2	476517	477431	-	915	2246	984	389
STM0424	NC_003197.2	477417	477679	-	263	2010	580	661
STM0425	NC_003197.2	477869	479317	+	1449	10581	1744	458
STM0426	NC_003197.2	479361	480165	-	805	402	210	21
STM0427	NC_003197.2	480161	481027	-	867	82	76	28
STM0428	NC_003197.2	481024	482133	-	1110	400	260	72
STM0429	NC_003197.2	482139	483157	-	1019	423	273	45
STM0430	NC_003197.2	483350	484085	-	736	2106	1007	448
STM0431	NC_003197.2	484203	485312	+	1110	76	66	46
STM0432	NC_003197.2	485312	486131	+	820	75	45	16
STM0433	NC_003197.2	486228	486831	-	604	488	664	300
STM0434	NC_003197.2	486781	487703	-	923	1806	1206	768
STM0435	NC_003197.2	487800	488309	+	510	42785	14685	3632
STM0436	NC_003197.2	488356	489705	-	1350	8741	2153	409
STM0436A	NC_003197.2	489948	490109	-	162	649	60	203
STM0437	NC_003197.2	490250	491768	+	1519	1045	162	101
STM0438	NC_003197.2	491986	493273	+	1288	1736	166	48
STM0439	NC_003197.2	493355	494254	-	900	7813	4210	2301
STM0440	NC_003197.2	494257	494600	-	344	1332	2648	1079
STM0441	NC_003197.2	494586	495212	-	627	3028	3694	944
STM0442	NC_003197.2	495190	497193	-	2004	13918	10371	4718
STM0443	NC_003197.2	497192	498229	-	1038	37136	7582	5566
STM0444	NC_003197.2	498601	500094	-	1494	2146	755	67
